Date,Temperature,Watts
2013-06-01 18:19:41.577891,19.1,443
2013-06-01 18:20:05.927428,19.1,428
2013-06-01 18:20:31.482225,18.7,2807
2013-06-01 18:21:03.188871,19.5,2789
2013-06-01 18:21:28.498972,18.9,2802
2013-06-01 18:22:06.424469,19.2,2820
2013-06-01 18:22:31.576151,19.1,2804
2013-06-01 18:23:09.688803,18.9,2783
2013-06-01 18:23:28.700308,19.1,2783
2013-06-01 18:24:06.750239,19.4,2765
2013-06-01 18:24:25.776137,19.0,2764
2013-06-01 18:25:35.108334,19.0,2796
2013-06-01 18:26:06.788416,19.0,2816
2013-06-01 18:26:25.671187,19.0,2830
2013-06-01 18:27:03.686864,19.0,2812
2013-06-01 18:27:29.065013,19.0,2853
2013-06-01 18:28:06.891909,19.0,2667
2013-06-01 18:28:32.206829,19.0,2670
2013-06-01 18:30:32.171669,19.2,2681
2013-06-01 18:32:00.725592,19.2,2676
2013-06-01 18:32:26.165072,19.2,2862
2013-06-01 18:33:04.310723,19.1,2881
2013-06-01 18:34:07.513942,19.1,2878
2013-06-01 18:34:51.675954,19.2,2870
2013-06-01 18:35:10.683569,19.2,2888
2013-06-01 18:36:07.445996,19.2,2860
2013-06-01 18:37:04.474491,19.1,2874
2013-06-01 18:38:07.542779,19.1,2901
2013-06-01 18:39:04.600854,19.1,2863
2013-06-01 18:40:07.800833,19.2,2748
2013-06-01 18:41:04.730678,19.2,2674
2013-06-01 18:42:07.611877,19.1,2643
2013-06-01 18:43:04.447720,19.2,2686
2013-06-01 18:44:07.544149,19.1,2728
2013-06-01 18:45:04.277532,19.1,2694
2013-06-01 18:46:07.573881,19.2,2704
